Text Range,Leaf,Page,Bar Hama 2,Gap,Notes,URL-suffix
Isa 10:24–12:3,109r,217,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_109r,,,109r
Isa 12:3–14:4,109v,218,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_109v,,,109v
Isa 14:4–15:3,110r,219,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_110r,,,110r
Isa 15:3–17:7,110v,220,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_110v,,,110v
Isa 17:7–19:11,111r,221,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_111r,,,111r
Isa 19:11–21:3,111v,222,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_111v,,,111v
Isa 21:3–22:14,112r,223,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_112r,,,112r
Isa 22:14–23:17,112v,224,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_112v,,,112v
Isa 23:17–25:5,113r,225,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_113r,,,113r
Isa 25:5–26:21,113v,226,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_113v,,,113v
Isa 26:21–28:10,114r,227,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_114r,,,114r
Isa 28:10–29:8,114v,228,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_114v,,,114v
Isa 29:8–30:8,115r,229,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_115r,,,115r
Isa 30:8–30:30,115v,230,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_115v,,,115v
Isa 30:30–32:13,116r,231,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_116r,,,116r
Isa 32:13–33:23,116v,232,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_116v,,,116v
Isa 33:23–35:10,117r,233,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_117r,,,117r
Isa 35:10–36:18,117v,234,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_117v,,,117v
Isa 36:18–37:19,118r,235,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_118r,,,118r
Isa 37:19–38:3,118v,236,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_118v,,,118v
Isa 38:4–39:7,119r,237,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_119r,,,119r
Isa 39:7–40:26,119v,238,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_119v,,,119v
Isa 40:26–41:20,120r,239,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_120r,,,120r
Isa 41:20–42:16,120v,240,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_120v,,,120v
